"","text","score","very.pos","very.neg"
"27","#JamieDimon how many times do I have to leave msg for #ChaseBank rep to call me back re: #fraud hold.? #PoorCustomerService @ChaseSupport",-1,0,0
"28","@ChaseSupport 4841 Fenton Road, Flint, MI 48507 and G-4085 S Saginaw St Burton MI 48529",0,0,0
"29","@ChaseSupport We are Chase customers and will need a certified check. Can we get this in the drive-thru or do we have to go into the lobby?",0,0,0
"30","@ChaseSupport this could have been said in the DM. But I understand the social media PR. Dont forget your employee put me in this situation.",0,0,0
"31","@ChaseSupport I'm not sure I understand the if in your statement. How would one find out?",0,0,0
"32","@ChaseSupport Do Apple stores count as office supply stores for the ink business card?",0,0,0
"33","@ChaseSupport i am trying to refer my brother to get the Chase Ink card... are there any active referral bonuses?",1,0,0
"34","@ChaseSupport Yes, tried it. Says it requires IOS7 which I don't have. So now I can't use the app at all anymore?",0,0,0
"35","@ChaseSupport done",0,0,0
"36","@ChaseSupport I need a phone # to call for questions on applying for a Sapphire card.  I don't have a Chase account",0,0,0
"37","Thank you, @ChaseSupport, I really appreciate that.",2,1,0
"38","@ChaseSupport sorry yes, please provide the fax# to submit 3rd party authorization letter.",-1,0,0
"39","@ChaseSupport My last 2 emails never got a response and I dont want to be on the phone with you for another hour.  Can I get some help",0,0,0
"40","@ChaseSupport Please help! I'm getting no response from you on my customer's short sale. Buyer is about to walk!!",0,0,0
"41","@ChaseSupport Well, we never got them. After calling Chase, hey said they would be resend. Now we have letter saying we won't get them.",1,0,0
"42","@ChaseSupport now follows me but I rather have an answer to why they don't fulfill a part of the offer",0,0,0
"43","@ChaseSupport my question is too long for twitter.  Is there an 800 number for cust svc re online bill pay?",0,0,0
"44","Wow @ChaseSupport never sent the @united club passes that came with the cc &amp; after contacting them, they say we won't get any till September",1,0,0
"45","@ChaseSupport its gotta happen.",0,0,0
"46","@ChaseSupport Thanks! Just did!",0,0,0
"47","@ChaseSupport faxing 28 pages previously sent via certified mail on 12/4/2014 that Chase said didn't get but did get check in same envelope.",0,0,0
"48","When will @chase / @ChaseSupport get touch id login????",0,0,0
"49","@ChaseSupport Should be following you",0,0,0
"50","RT @ChaseSupport: @hayyy1110 Thank you for the love. We look forward to continue providing you with this level of service. Have a wonderful…",3,1,0
"51","@RicksWord I'll share your feedback. If we can ever be of any assistance, please feel free to tweet us here @ChaseSupport. ^TZ",1,0,0
"52","@ChaseSupport thanks guys!",0,0,0
"53","@ChaseSupport can you see if my new cc has come through so you can overnight it to me or my hotel this weekend?",0,0,0
"54","@ChaseSupport they’ve called claims dept a few times and can’t seem to figure it out",0,0,0
"55","@ChaseSupport Wondering what we have to do to keep our branch in Greenville, MI alive and working.",0,0,0
"56","@ChaseSupport the executor is a friend of the family that has moved out of state. Is there a form I can mail her?",0,0,0
"57","@ChaseSupport I’m at the bank now and no one can figure out how to get them, is there something I should tell them that would help?",0,0,0
"58","@ChaseSupport : Aliente, NLV NV brance Had 1 since I've Been in NLV (2009). Was no reason to call ahead. Just saying that I was surprised",0,0,0
"59","@ChaseSupport My father has passed away, how do I claim the funds in his Chase banking account? I have his will and I am sole beneficiary.",1,0,0
"60","@ChaseSupport When you send chase quick pay from a non-chase account does it immediately send you email verification that you sent paymnt?",0,0,0
"61","@ChaseSupport DM sent...",0,0,0
"62","@ChaseSupport I will!!",0,0,0
"63","@ChaseSupport I figured it out. They sent me some form that I have to fill out and return. Thanks though!",0,0,0
"64","@ChaseSupport should be resolve the technology of your new ATMs got me <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>",0,0,0
"65","@ChaseSupport HUGE issue closing a short sale that was approved. Chase Closer is NOT GREAT, 3rd approval letter now expired, Please HELP!",0,0,0
"66","@ChaseSupport do you offer bank accounts to international students studying at US universities?",0,0,0
"67","@ChaseSupport thank you for your respond, love this support!",3,1,0
"68","@business It really  seems  true. Regulations can go too far. I never had any problem with  @Chase and get great @ChaseSupport @nami13",0,0,0
"69","@ChaseSupport Will do! Headed your way ...",0,0,0
"70","@ChaseSupport
 hey chase people,
So what's the deal with you guys covering broken phones up to 120 days after the purchase? 
#help",-1,0,0
"71","@ChaseSupport I need the # to send the authorization letter",0,0,0
"72","@ChaseSupport Radio button to pay my statement balance is grayed out-perhaps due to a return I made? Can only pay current balance or other.",0,0,0
"73","@ChaseSupport thank you!!",1,0,0
"74","@ChaseSupport I've sent an email through my account asking about the charges - still waiting for a reply. Thanks.",0,0,0
"75","@ChaseSupport messaged you guys were you able to figure out why I was charged 25$ for a service fee?",0,0,0
"76","@ChaseSupport I am aware, but have you heard of @clearxchange thru @bankofamerica? I want to know if it's safe.",1,0,0
"77","@ChaseSupport this was a couple days ago, working now. Using Safari on MacBook.",0,0,0
"78","@Chase @ChaseSupport thanks. Thats not my email address. That's the email address the email came from. Thanks!",0,0,0
"79","@ChaseSupport dear chase bank, after your corrupt bailout. I would not do business with you if you were the only bank on earth. waste paper.",-2,0,1
"80","@ChaseSupport Tweeting away... The #chase #apps menu could use some tweaking. It still doesn't look like it fits in with the rest of the app",1,0,0
"81","@ChaseSupport I very much appreciate your help!",1,0,0
"82","@ChaseSupport no wonder its a cluster mess and has taken 5 months with drunk driver hitting house 10 months ago. Keep up the good work.",1,0,0
"83","@ChaseSupport doesn't say who is charging me for a service fee? Or even what service im being charged for. I didnt purchase anything.",0,0,0
"84","@ChaseSupport who is handling my settlement file? Beth called, letter saying Eric, then Tracey in Corp support. Can't 1 person do this?",1,0,0
"85","@ChaseSupport hey just got a notification saying my checking was -3 dollars. Went to check it said $25 was withdrawn for a service fee?",0,0,0
"86","@ChaseSupport done",0,0,0
"87","@ChaseSupport Hello Chase, I am wondering if it is possible for me to have 2 checking accounts?",0,0,0
"88","@ChaseSupport too many cooks stirring the pot over there fyi #needorganiation #restructurestaff",0,0,0
"89","@ChaseSupport beth was rude #customerservicetrainingneeded she talked over me and didn't let me write anything down 2 fast attitude invoice",0,0,0
"90","RT @ChaseSupport: We're leaving for the night; since our team is located in the ""Buckeye State,"" we want to congratulate The Ohio State Buc…",1,0,0
"91","@ChaseSupport why did i receive a call from a Beth asking for me to make up paperwork that doesn't exist? #frustratedtonoend #irate #pissed",-1,0,0
"92","@chasesupport: i have certain questions regarding my account please advise!
Thanks",0,0,0
"93","@ChaseSupport I have replied.",0,0,0
"94","@ChaseSupport ok, I'll explain the joke like last time. Go BUCKS. Bucks=$. you're a bank. Bank have $. You're rooting for $.",0,0,0
"95","@ChaseSupport I need help. Omg <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #ChaseToTheRescue",0,0,0
"96","RT @ChaseSupport: @jrobinson82 Never fear, the color blue will always hold a special place in our hearts. If we can offer our assistance, p…",-1,0,0
"97","Facts right just handle the $$ keep it movin!! RT @datassholemeeka: Why they tryna be homies? @ItsQuietForYou @ChaseSupport",1,0,0
"98","Why they tryna be homies? @ItsQuietForYou @ChaseSupport",0,0,0
"99","YALL GOTTA CATCH THIS 7am FADE @ChaseSupport",0,0,0
"100","NA FAM RT @ChaseSupport: It’s a great morning to cozy up to a nice hot chocolate and tweet us. ... http://t.co/8nNslFKNII",4,1,0
"101","@ChaseSupport Hi There, first of all thanks for the great support. The chase app must be equipped with finger print and enhanced to full UI",3,1,0
"102","@ChaseSupport it says: foreign check are not usable with quick deposit :(",1,0,0
"103","@ChaseSupport It's been a week and I have not gotten my card. Cannot believe it's taking that long.",0,0,0
"104",". @ChaseSupport any plans to have TouchId for the Chase mobile iPhone app?",0,0,0
"105","@ChaseSupport I'll try tomorrow",0,0,0
"106","Feeling good about @ChaseSupport",1,0,0
"107","@ChaseSupport where can i change my currency of Canadian dollars to US dollars?",0,0,0
"108","RT @ChaseSupport: We're leaving for the night; since our team is located in the ""Buckeye State,"" we want to congratulate The Ohio State Buc…",1,0,0
"109","@ChaseSupport really, a bank using hashtag #gobucks? How original!",0,0,0
"110","I want to see if Chase really value their customers @Chase @ChaseSupport",0,0,0
"111","Might quit @Chase. #goblue “@ChaseSupport:our team is in the ""Buckeye State,"" we want to congratulate The Ohio State Buckeyes! #GoBucks ^MM”",1,0,0
"112","@ChaseSupport #GoBucks yourself",0,0,0
"113","RT @ChaseSupport: We're leaving for the night; since our team is located in the ""Buckeye State,"" we want to congratulate The Ohio State Buc…",1,0,0
"114","@ChaseSupport Thank you very much. Tonya had been a pleasure to speak with",2,1,0
"115","@ChaseSupport can't say 140 char are enough to exp months of issues that I keep having to call chase about #dobetter #usecreditunions",0,0,0
"116","@ChaseSupport can a create a new savings account online? Or must I go to a bank?",1,0,0
"117","@ChaseSupport i have 3 overdraft fees due to a misunderstanding with the company i worl for",-1,0,0
"118","@ChaseSupport you guys banking system sucks",-1,0,0
"119","Thanks to @ChaseSupport for being on top of fraudulent activity!  And <ed><U+00A0><U+00BD><ed><U+00B1><U+008E> to the people who made a copy of my card and tried to use it <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>",0,0,0
"120","@ChaseSupport ok thanks! What are documents needed in order to open the account?",0,0,0
"121","@ChaseSupport wow!!!!! How nice! Much nicer than @FifthThird !!!",3,1,0
"122","@chase @chasesupport Email about activity on my card, Chase  doesn't support two factor authentication.  Get this. http://t.co/KHfecqKCR6",1,0,0
"123","@ChaseSupport yes. There please. What should i have with me? Btw im not american",0,0,0
"124","@ChaseSupport Thank you for your help. Situation resolved!",1,0,0
"125","@ChaseSupport Ah, well! I can work around that. :) Thanks for your fast response! Happy to be a customer!",4,1,0
"126","@ChaseSupport any suggestions for getting responses on equator?",0,0,0
"127","@ChaseSupport Thank you! It was a different number. I just resent everything now :)",0,0,0
"128","@ChaseSupport @Chase ok sounds good.",1,0,0
"129","@ChaseSupport yes, thank you!",1,0,0
"130","RT @ChaseSupport: @donnadoesphotos Hello, you can fax the documents to 866-220-4130. Please let me know if this is the number you've attemp…",0,0,0
"131",".@ChaseSmallBiz .@ChaseSupport: When will you be announcing &amp; contacting #Grant winners? #cantwait #hopeyoucallKinesis",1,0,0
"132","@chasesupport can you give me the best fax or email for the short sale department? I have faxed docs for days and they won't go through.",1,0,0
"133","@ChaseSupport Thanks for elevating it through the appropriate channels. Received a personal telephone call today and appreciated that.",2,1,0
"134","@ChaseSupport I have a suspicious charge of .89¢ on my card. Can you help please?",-1,0,0
"135","@ChaseSupport hi. Please let me know if i can oppen a bank account saturdays at miami brickell. What are the requirments? Thanks!",0,0,0
"136","@ChaseSupport I have a question about quick pay. Can a representative call me",0,0,0
"137","@ChaseSupport i have a few questions .. #helpme",0,0,0
"138","@ChaseSupport I’d like to open a bank account with you. Can I just drop in any offices? I’m with Citibank now, do you take care of the move?",1,0,0
"139","@ChaseSupport Hi! If i add an authorized user, do I get separate reporting / statements for the other card?",0,0,0
"140","@ChaseSupport Are there any perks for referrals? I have a friend who wants to open a checking account.",0,0,0
"141","@ChaseSupport Once the payment went through on Monday it stopped. So all is well.",1,0,0
"142","@ChaseSupport got it taken care of thank you!! <U+263A><U+FE0F>",1,0,0
"143","@ChaseSupport why not? other financial institutions offer that capability which makes my customer experience easier.",2,1,0
"144","@ChaseSupport Thanks for waiving the fees-- thanks for real this time =]",0,0,0
"145","Found some real estate on my credit report gifted by Chase wonder if I can trick em into giving me the deed of trust <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC> @ChaseSupport @Chase",2,1,0
"146","@ChaseSupport I can try to go to branch doing it again, is there a number that I can call in case the issue with the coupon?",-1,0,0
"147","@ChaseSupport In the branch",0,0,0
"148","@ChaseSupport expiration date is 02/28/15, so that is not the issue, and I don't have the exiting account with Chase when tried.",-1,0,0
"149","RT @ChaseSupport: @Nessmatic_ Hello, I'd like to review your account regarding the ATM fees. Can you follow/DM your name and zip code? ^AN",1,0,0
"150","@ChaseSupport Thank you for helping out! You guys are the best :)",3,1,0
"151","@ChaseSupport I'm following you not sure you're following me.",0,0,0
"152","@ChaseSupport What should I do, in order to be able to use the coupon to open the account in your banking branch.",0,0,0
"153","@ChaseSupport I tried to open the new accounts using these coupon, but was told that the coupon was not invalid.",-1,0,0
"154","@ChaseSupport Once again, fraudulent activity on my account and NO ONE seems to know how to help resolve, 4 reps, 30+ minutes #noresolution",-1,0,0
"155","@ChaseSupport Followed!",0,0,0
"156","@ChaseSupport Been trying many Chase Phone numbers like 1-800-432-3117 getting static and circuits are busy?  Problems?",-1,0,0
"157","@ChaseSupport Yes. I shouldn't be asked for the same shit twice.",-1,0,0
"158","@ChaseSupport Thanks, if I get anything else I will just forward it",0,0,0
"159","@OverlordDarrell If only @ChaseSupport was the only firm suffering from this issue. What's the point, really.",-2,0,1
"160","@ChaseSupport I bank with @bankofamerica why can't I receive eBills from you?  am I missing something?",0,0,0
"161","@ChaseSupport I am on the phone with someone right now.",1,0,0
"162","@ChaseSupport I'll give a call and if need further assistance , I'll let you know. 
Thanks !",0,0,0
"163","Call @ChaseSupport and punch in your acct# and zip code to get to a person. Get to a person, immediately get asked for acct# and zip again.",-1,0,0
"164","@ChaseSupport Already spoke to cust.service -told me no one can help &amp; that's the way it is (Slate Card) which prompted me to tweet about it",0,0,0
"165","@ChaseSupport Already spoke to cust.service -told me no one can help and that's the way it is (Slate Card) which prompted me to tweet it.",0,0,0
"166","@ChaseSupport : I got this $200/200 checking /saving Bonus coupon from the mail, but when I tried to use it, was told it is invalid, why?",0,0,0
"167","@ChaseSupport I got a new Sapphire Preferred card yesterday. I am trying to add it to my account but am getting Error 2001. Please help.",-1,0,0
"168","@ChaseSupport it's a serious question. I have been trying to talk to a human for 30+ minutes",0,0,0
"169","@ChaseSupport what number do I call if I am going abroad and need $$$ ? #help",0,0,0
"170","@ChaseSupport It was an online customer service agent for my biz Visa. Didn't get her name. :) But how nice of you to follow up! :)",1,0,0
"171","@ChaseSupport Overnight a check to a merchant please!",0,0,0
"172","@ChaseSupport 
Is there a customer support phone number that I can call regarding my reservation through Ultimate Rewards program",1,0,0
"173","@ChaseSupport I have a mortgage and 2 credit cards with you. How can I not open a checking account online or over the phone?",0,0,0
"174","@ChaseSupport  is it possible to activate a debit card outside the american soil?",0,0,0
"175","@ChaseSupport Sending you a DM now.",0,0,0
"176","RT @ChaseSupport: @dendenator 1/2 We would still like to put you in contact with a rep from our Auto Loan Dept to address this. If you'd li…",1,0,0
"177","RT @ChaseSupport: @dendenator 1/2 We would still like to put you in contact with a rep from our Auto Loan Dept to address this. If you'd li…",1,0,0
"178","@ChaseSupport 
I book flight yesterday through Ultimate rewards, confirmation i# M9495139. I never received a confirmation email.",0,0,0
"179","@ChaseSupport Hi could you please DM me? I received an email from someone that ""says"" he is from your bank and would like to verify. Thanks!",1,0,0
"180","@ChaseSupport Your emails aren’t working. I earned more than 54 points yesterday, let alone an entire year. http://t.co/4aXFnWifGE",0,0,0
"181","@ChaseSupport Following..",0,0,0
"182","@ChaseSupport My insurance company is recommending I sign a ""direction to pay"" since I'll be traveling for a week. Will that still work?",1,0,0
"183","@ChaseSupport Did you remove the ability to send checks online? I can't seem to find it, and would rather not have to go into a branch!",0,0,0
"184","@ChaseSupport I actually ended up calling in and spoke to someone on the help line.",0,0,0
"185","RT @Barclaycard: @janiobi @ChaseSupport If you need anything Amy just contact my Barclaycard US, @AskBCUS they'll help. ^TM",0,0,0
"186","@heyjupiter21 I am sorry to hear that. I am worried about that happening now.@ChaseSupport",-2,0,1
"187","@janiobi @ChaseSupport If you need anything Amy just contact my Barclaycard US, @AskBCUS they'll help. ^TM",0,0,0
"188","@ChaseSupport I still get no answers from Chase. You must be the most complicated bank there is. Not even escalation can get an answer!",-1,0,0
"189",".@ChaseSupport just DMd you. I have now contacted you for 4th time about issue. Let's see what you can do before I go back to @Barclaycard",-1,0,0
"190","@ChaseSupport I have a leased vehicile andw as in an accident. Do I need to contact you guys?",0,0,0
"191","@ChaseSupport it would bring your app up to date with the other financial apps I use like AMEX. Please prioritize! Thanks",1,0,0
"192","@ChaseSupport Thanks for your help - I'll make sure I have that documentation with me - thanks for your help.",0,0,0
"193","I have to say...calling a bank shouldn't make me this happy. Thank you @ChaseSupport for always being amazing! #CustomerService #bank",3,1,0
"194","@ChaseSupport is it safe to use my chase account on Apps like Mint and Level ?",2,1,0
"195","@chasesupport 
Been waiting on my card for &gt;1 week when I was told next day shipping! Have a trip this weekend and want to use the card….",0,0,0
"196","@ChaseSupport seems to be confusion @SouthwestAir said they were being mailed in waves and 2 be patient. Have Premier Card-same as husband.",1,0,0
"197","RT @ChaseSupport: We’re back and would love to help with your banking questions today. We only request that you take off your mittens befor…",1,0,0
"198","@ChaseSupport Hi - I'm going to be living in Chicago for 6 months (B1 Visa so no SSN) - am I able to get a basic bank account?",0,0,0
"199","@ChaseSupport is adding Touch ID support to your iOS app on the product roadmap?",1,0,0
"200","@ChaseSupport Does the Chase Sapphire Preferred still receive triple points at restaurants on the first Friday of each month?",0,0,0
"201",".@ChaseSupport Your customer support is terrible.",0,0,0
"202","@ChaseSupport Hey, Chase, I need helppppp!",0,0,0
"203","@ChaseSupport Case Insenstive passwords are BAD for your user's security. Please Fix it! Even better, use FIDO: https://t.co/Vc0oFbaI9J",0,0,0
"204","can @ChaseSupport  help me get @verified thanks to my run to @ChipotleTweets  today? I mean come on. I make beautiful music!",1,0,0
"205","@ChaseSupport 
Please send me a Direct Message
Thanks",0,0,0
"206","@ChaseSupport 
Hello,

Please contact me regarding a problem with my Ultimate Rewards.
Thanks,
Abdul @AbdulSheir1",-1,0,0
"207","@ChaseSupport I had an account. You stranded me in DC. I have moved to NY where you have branches. I would like to clear  up the account",2,1,0
"208","“@ChaseSupport: @kidnapped1979 ^EN are my initials. My name is Erin. Chase Bank is a part of JPMorgan Chase &amp; Co as a whole. ^EN” scum bags",-1,0,0
"209","“@ChaseSupport:  BULLSHIT You can send your tax bill to JPMorgan Chase Bank, NA,: Tax Department, PO Box 961227, Ft. Worth, TX 76161. ^SG”",0,0,0
"210","@ChaseSupport Thank You, It makes it a lot harder when you get direct deposit and need cash. I appreciate it",2,1,0
"211","@ChaseSupport where are you all located?",0,0,0
"212","@ChaseSupport Apparently only helps during business hours. What are us West Coasters to do?",0,0,0
"213","@ChaseSupport I purchased through the UR mall (Omaha Steaks) on 12/16 and haven't seen the bonus points post yet, how long before they show?",1,0,0
"214","@ChaseSupport cool nite!",1,0,0
"215","@ChaseSupport Yay! I love pom poms. Good night.",3,1,0
"216","@ChaseSupport left work 1 hr early to open an account. Not even a customer yet &amp; not sure I would want to be w/ that type of service",1,0,0
"217","@ChaseSupport Frustrated w/ lack of customer service. Told to arrive by 5:45 to open new biz account. Arrive at 5:45, no one there to help",-2,0,1
"218","@ChaseSupport  Hello . I'm a chase customer and I am currently overseas , I may have forgotten my user ID /password but when",0,0,0
"219","@ChaseSupport I'd like to know why I have to reset my password EVERY time I try to log into my Chase Sapphire account. This is ridiculous!",0,0,0
"220","@ChaseSupport I forgot my QuickPay credentials. How can I get it back? I see the reset option for Chase customers but not for non customers.",0,0,0
"221","@ChaseSupport spent over an hour trying to get it to work, but never could. The ordering system seems to be way out of date.",1,0,0
"222","@ChaseSupport yes, but never was able to preview them. Apparently the Java applet is not up to Java's new sec standards. Hope they come ok!",0,0,0
"223","Having ill feelings towards @Chase today hopefully @ChaseSupport can help",0,0,0
"224","@ChaseSupport thank you. I sent the DM.",1,0,0
"225","RT @ChaseSupport: @iambmac It was my pleasure! Besides, it is too cold to be out where you were. Tweet us again for assistance! #Gobuckeyes…",0,0,0
"226","@ChaseSupport It would be really helpful to have one near home.",1,0,0
"227","@ChaseSupport Hi, You guys should put a Chase ATM in Rantoul, Illinois. I have to travel 20 - 25 min to get to a Chase ATM.",0,0,0
"228","@ChaseSupport thank you for getting back with me! Have a wonderful evening.",2,1,0
"229","Dear identity thieves, You suck. Love, us. Oh, and thanks @ChaseSupport for catching it and calling us.",0,0,0
"230","@ChaseSupport Turned overdraft off 11/15, still charged til 1/5, happened on another acct and got full refund. How can I get this fixed?",1,0,0
"231","Way to go, @ChaseSupport. Solving problems on Twitter and letting me be lazier than ever. Many thanks to ^TZ for all the help.",-1,0,0
"232","@ChaseSupport Are there plans to bring back eBills for BofA? Will probably cancel my card due to the hassle but thought I'd check first.",-1,0,0
"233","@nbc6 @ChaseSupport  ask chase how they use my dead mom to justify giving 83 yr old 3rd mortgage",-1,0,0
"234","@ChaseSupport when the sltn to avoiding fees on your accts is ""get a different job"" or ""have more money"" its an easy decision to close acct",1,0,0
"235","@ChaseSupport the branch on Gender. The bankers name was Francesca Hargrow. She was the only banker helping customers while we were there.",1,0,0
"236","@ChaseSupport  looking forward to now looking up the 1st mortgage from 20 years ago that you trumped their lien. Scum",-1,0,0
"237","@ChaseSupport  200k on a maybe 100 house  get the hell out of here.  Like I said. That's FTC. Jury will love what u did w dead mother",0,0,0
"238","@ChaseSupport  if I was lying they could stop me. Wake up world  they scamming mortgages big time http://t.co/bWJXk6n0Xf",-1,0,0
"239","@ChaseSupport time to get I lighten some other social media. Can't stop me. Can't sue. Cuz u DIRTY PIGS",-3,0,1
"240","@ChaseSupport ask your co conspirator what happened when he stole    THIEVES. SUE ME. TEUTH IS COMPLETE DEFENSE.",-3,0,1
"241","@ChaseSupport @Chase After 3 phone calls today found it was still on someone's desk. Still not looked into by your support dept.",1,0,0
"242","@ChaseSupport Chase Student Loans holding up @windsongpoetry's mortgage. booooooooooooooooooooo! All she needs is current balance ltr.",0,0,0
"243","@ChaseSupport  I'm glad you ignored me. I was on the fence cuz I want someone in jail. Never got to put one in jail just get them put",1,0,0
"244","@ChaseSupport It says the photos aren't clear.It isn't consistent- they are the same checks I receive every month. Only work 30% of the time",2,1,0
"245","@ChaseSupport ...can't even get the Java applet to run to preview checks!! This is insane. On both Win8.1 and Mac OSX. VERY frustrating.",-1,0,0
"246","@ChaseSupport Geez guys...trying to reorder checks, have to make my Java/Browser sec settings very UNsecure to get into the page...",-1,0,0
"247","@ChaseSupport @Chase yes it was your support dept. on the 26th. That sent it to.",1,0,0
"248","@ChaseSupport  she was alive you say ? Lol. Guess the next deed of trust u for over double house value alive too huh http://t.co/GNbFwyydRd",1,0,0
"249","@ChaseSupport @chasesupporters ENJOY THE RIDE DIRTY CROOK. MONMAS BACK TO LIFE. LOL LOL. MILLIONS ASSHOLES",-1,0,0
"250","@ChaseSupport guess it's time to see who ready to have some fun. No arbitration agreement crap. I Put 12 people in box !!!",1,0,0
"251","@ChaseSupport got some winners though.  Couldn't get my dead moms middle name right when u altered the document. Lol $$$$$)",1,0,0
"252","@ChaseSupport until they use an attorney's dead mother to secure 3rd mortgage on house worth 100k less.",1,0,0
"253","Cuz a trust comes before a deed therefore trust holder beneficiary WILL NEVER NEVER NEVER LOSE @ChaseSupport",2,1,0
"254","@ChaseSupport  SUBORNATION OF TRUST means we screw the original mortgage group n take priority when 83 yr old dies That's why they max house",0,0,0
"255","Some people just don't believe   @ChaseSupport  I'm excited to see what a jury gives us. Got proof of fraud. Etrade too",0,0,0
"256","@ChaseSupport that desperate you go so low to my dead mother.   Your a disgrace.  Got you criminally.",-3,0,1
"257","@ChaseSupport new technology, Great. Customer Service, better.",2,1,0
"258","@ChaseSupport the branch was in canal winchester Ohio. The banker was extremely kind and helpful. The wait was just significantly too long",1,0,0
"259","@ChaseSupport yes. You may call any number associated with my account, too.",0,0,0
"260","@ChaseSupport Yes, I received an ""apache tomcat"" error message. I called to redeem the points.",0,0,0
"261","RT @ChaseSupport: @pickmyflorez I'm thrilled I could help you and provide a great experience. If we can offer our assistance in the future,…",2,1,0
"262","@ChaseSupport I got it 10 min before I left. Too close for comfort but thank you for following up!",2,1,0
"263","@Legal_Alerts  I have court filed documents proving @ChaseSupport committed mortgage fraud wire fraud theft n old man now 100 upside down",-1,0,0
"264","Which media do I give the exclusive ?  I have docs proving jpmorgan knowingly defrauded other lenders and the government. @ChaseSupport",1,0,0
"265","@ChaseSupport  very clever   But for me.",1,0,0
"266","@ChaseSupport  now let's talk   Knowingly accepting a deed with dead persons name signed.",-1,0,0
"267","@ChaseSupport ashkeylynnfaire=  I need my routing number",0,0,0
"268","@ChaseSupport  THEY LIE PEOPLE.  WATCH THEM FALL NOW. DUMB ASSES FORGED DEAD MOMS NAME AND NOT HER REAL MIDDLE NAME.",-5,0,1
"269","@ChaseSupport why don't you check on the loan u did in dead name ?",-1,0,0
"270","@EIngling I was unable to locate a DM from then. Did you send to @Chase? If so, please DM us here @ChaseSupport. We'd like to help. ^TZ",0,0,0
"271","@ChaseSupport Thanks for the response.",0,0,0
"272","Thank you @ChaseSupport for your help! This is why I continue to use your services <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>",1,0,0
"273","@ChaseSupport and @etrade about to lose so much money. Play games !!",-1,0,0
"274","I love when a company has great customer service. Just talked to @ChaseSupport and they were extremely helpful!",3,1,0
"275","@ChaseSupport I worked everything out. Thank you.",2,1,0
"276","@ChaseSupport Help. I've stood in line forever at my branch and not a banker in sight. Can I call you for help? Please?",0,0,0
