"","x"
"99","YALL GOTTA CATCH THIS 7am FADE @ChaseSupport"
"100","NA FAM RT @ChaseSupport: It’s a great morning to cozy up to a nice hot chocolate and tweet us. ... http://t.co/8nNslFKNII"
"101","@ChaseSupport Hi There, first of all thanks for the great support. The chase app must be equipped with finger print and enhanced to full UI"
"102","@ChaseSupport it says: foreign check are not usable with quick deposit :("
"103","@ChaseSupport It's been a week and I have not gotten my card. Cannot believe it's taking that long."
"104",". @ChaseSupport any plans to have TouchId for the Chase mobile iPhone app?"
"105","@ChaseSupport I'll try tomorrow"
"106","Feeling good about @ChaseSupport"
"107","@ChaseSupport where can i change my currency of Canadian dollars to US dollars?"
"108","RT @ChaseSupport: We're leaving for the night; since our team is located in the ""Buckeye State,"" we want to congratulate The Ohio State Buc…"
"109","@ChaseSupport really, a bank using hashtag #gobucks? How original!"
"110","I want to see if Chase really value their customers @Chase @ChaseSupport"
"111","Might quit @Chase. #goblue “@ChaseSupport:our team is in the ""Buckeye State,"" we want to congratulate The Ohio State Buckeyes! #GoBucks ^MM”"
"112","@ChaseSupport #GoBucks yourself"
"113","RT @ChaseSupport: We're leaving for the night; since our team is located in the ""Buckeye State,"" we want to congratulate The Ohio State Buc…"
"114","@ChaseSupport Thank you very much. Tonya had been a pleasure to speak with"
"115","@ChaseSupport can't say 140 char are enough to exp months of issues that I keep having to call chase about #dobetter #usecreditunions"
"116","@ChaseSupport can a create a new savings account online? Or must I go to a bank?"
"117","@ChaseSupport i have 3 overdraft fees due to a misunderstanding with the company i worl for"
"118","@ChaseSupport you guys banking system sucks"
"119","Thanks to @ChaseSupport for being on top of fraudulent activity!  And <ed><U+00A0><U+00BD><ed><U+00B1><U+008E> to the people who made a copy of my card and tried to use it <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>"
"120","@ChaseSupport ok thanks! What are documents needed in order to open the account?"
"121","@ChaseSupport wow!!!!! How nice! Much nicer than @FifthThird !!!"
"122","@chase @chasesupport Email about activity on my card, Chase  doesn't support two factor authentication.  Get this. http://t.co/KHfecqKCR6"
"123","@ChaseSupport yes. There please. What should i have with me? Btw im not american"
"124","@ChaseSupport Thank you for your help. Situation resolved!"
"125","@ChaseSupport Ah, well! I can work around that. :) Thanks for your fast response! Happy to be a customer!"
"126","@ChaseSupport any suggestions for getting responses on equator?"
"127","@ChaseSupport Thank you! It was a different number. I just resent everything now :)"
"128","@ChaseSupport @Chase ok sounds good."
"129","@ChaseSupport yes, thank you!"
"130","RT @ChaseSupport: @donnadoesphotos Hello, you can fax the documents to 866-220-4130. Please let me know if this is the number you've attemp…"
"131",".@ChaseSmallBiz .@ChaseSupport: When will you be announcing &amp; contacting #Grant winners? #cantwait #hopeyoucallKinesis"
"132","@chasesupport can you give me the best fax or email for the short sale department? I have faxed docs for days and they won't go through."
"133","@ChaseSupport Thanks for elevating it through the appropriate channels. Received a personal telephone call today and appreciated that."
"134","@ChaseSupport I have a suspicious charge of .89¢ on my card. Can you help please?"
"135","@ChaseSupport hi. Please let me know if i can oppen a bank account saturdays at miami brickell. What are the requirments? Thanks!"
"136","@ChaseSupport I have a question about quick pay. Can a representative call me"
"137","@ChaseSupport i have a few questions .. #helpme"
"138","@ChaseSupport I’d like to open a bank account with you. Can I just drop in any offices? I’m with Citibank now, do you take care of the move?"
"139","@ChaseSupport Hi! If i add an authorized user, do I get separate reporting / statements for the other card?"
"140","@ChaseSupport Are there any perks for referrals? I have a friend who wants to open a checking account."
"141","@ChaseSupport Once the payment went through on Monday it stopped. So all is well."
"142","@ChaseSupport got it taken care of thank you!! <U+263A><U+FE0F>"
"143","@ChaseSupport why not? other financial institutions offer that capability which makes my customer experience easier."
"144","@ChaseSupport Thanks for waiving the fees-- thanks for real this time =]"
"145","Found some real estate on my credit report gifted by Chase wonder if I can trick em into giving me the deed of trust <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC> @ChaseSupport @Chase"
"146","@ChaseSupport I can try to go to branch doing it again, is there a number that I can call in case the issue with the coupon?"
"147","@ChaseSupport In the branch"
"148","@ChaseSupport expiration date is 02/28/15, so that is not the issue, and I don't have the exiting account with Chase when tried."
"149","RT @ChaseSupport: @Nessmatic_ Hello, I'd like to review your account regarding the ATM fees. Can you follow/DM your name and zip code? ^AN"
"150","@ChaseSupport Thank you for helping out! You guys are the best :)"
"151","@ChaseSupport I'm following you not sure you're following me."
"152","@ChaseSupport What should I do, in order to be able to use the coupon to open the account in your banking branch."
"153","@ChaseSupport I tried to open the new accounts using these coupon, but was told that the coupon was not invalid."
"154","@ChaseSupport Once again, fraudulent activity on my account and NO ONE seems to know how to help resolve, 4 reps, 30+ minutes #noresolution"
"155","@ChaseSupport Followed!"
"156","@ChaseSupport Been trying many Chase Phone numbers like 1-800-432-3117 getting static and circuits are busy?  Problems?"
"157","@ChaseSupport Yes. I shouldn't be asked for the same shit twice."
"158","@ChaseSupport Thanks, if I get anything else I will just forward it"
"159","@OverlordDarrell If only @ChaseSupport was the only firm suffering from this issue. What's the point, really."
"160","@ChaseSupport I bank with @bankofamerica why can't I receive eBills from you?  am I missing something?"
"161","@ChaseSupport I am on the phone with someone right now."
"162","@ChaseSupport I'll give a call and if need further assistance , I'll let you know. 
Thanks !"
"163","Call @ChaseSupport and punch in your acct# and zip code to get to a person. Get to a person, immediately get asked for acct# and zip again."
"164","@ChaseSupport Already spoke to cust.service -told me no one can help &amp; that's the way it is (Slate Card) which prompted me to tweet about it"
"165","@ChaseSupport Already spoke to cust.service -told me no one can help and that's the way it is (Slate Card) which prompted me to tweet it."
"166","@ChaseSupport : I got this $200/200 checking /saving Bonus coupon from the mail, but when I tried to use it, was told it is invalid, why?"
"167","@ChaseSupport I got a new Sapphire Preferred card yesterday. I am trying to add it to my account but am getting Error 2001. Please help."
"168","@ChaseSupport it's a serious question. I have been trying to talk to a human for 30+ minutes"
"169","@ChaseSupport what number do I call if I am going abroad and need $$$ ? #help"
"170","@ChaseSupport It was an online customer service agent for my biz Visa. Didn't get her name. :) But how nice of you to follow up! :)"
"171","@ChaseSupport Overnight a check to a merchant please!"
"172","@ChaseSupport 
Is there a customer support phone number that I can call regarding my reservation through Ultimate Rewards program"
"173","@ChaseSupport I have a mortgage and 2 credit cards with you. How can I not open a checking account online or over the phone?"
"174","@ChaseSupport  is it possible to activate a debit card outside the american soil?"
"175","@ChaseSupport Sending you a DM now."
"176","RT @ChaseSupport: @dendenator 1/2 We would still like to put you in contact with a rep from our Auto Loan Dept to address this. If you'd li…"
"177","RT @ChaseSupport: @dendenator 1/2 We would still like to put you in contact with a rep from our Auto Loan Dept to address this. If you'd li…"
"178","@ChaseSupport 
I book flight yesterday through Ultimate rewards, confirmation i# M9495139. I never received a confirmation email."
"179","@ChaseSupport Hi could you please DM me? I received an email from someone that ""says"" he is from your bank and would like to verify. Thanks!"
"180","@ChaseSupport Your emails aren’t working. I earned more than 54 points yesterday, let alone an entire year. http://t.co/4aXFnWifGE"
"181","@ChaseSupport Following.."
"182","@ChaseSupport My insurance company is recommending I sign a ""direction to pay"" since I'll be traveling for a week. Will that still work?"
"183","@ChaseSupport Did you remove the ability to send checks online? I can't seem to find it, and would rather not have to go into a branch!"
"184","@ChaseSupport I actually ended up calling in and spoke to someone on the help line."
"185","RT @Barclaycard: @janiobi @ChaseSupport If you need anything Amy just contact my Barclaycard US, @AskBCUS they'll help. ^TM"
"186","@heyjupiter21 I am sorry to hear that. I am worried about that happening now.@ChaseSupport"
"187","@janiobi @ChaseSupport If you need anything Amy just contact my Barclaycard US, @AskBCUS they'll help. ^TM"
"188","@ChaseSupport I still get no answers from Chase. You must be the most complicated bank there is. Not even escalation can get an answer!"
"189",".@ChaseSupport just DMd you. I have now contacted you for 4th time about issue. Let's see what you can do before I go back to @Barclaycard"
"190","@ChaseSupport I have a leased vehicile andw as in an accident. Do I need to contact you guys?"
"191","@ChaseSupport it would bring your app up to date with the other financial apps I use like AMEX. Please prioritize! Thanks"
"192","@ChaseSupport Thanks for your help - I'll make sure I have that documentation with me - thanks for your help."
"193","I have to say...calling a bank shouldn't make me this happy. Thank you @ChaseSupport for always being amazing! #CustomerService #bank"
"194","@ChaseSupport is it safe to use my chase account on Apps like Mint and Level ?"
"195","@chasesupport 
Been waiting on my card for &gt;1 week when I was told next day shipping! Have a trip this weekend and want to use the card…."
"196","@ChaseSupport seems to be confusion @SouthwestAir said they were being mailed in waves and 2 be patient. Have Premier Card-same as husband."
"197","RT @ChaseSupport: We’re back and would love to help with your banking questions today. We only request that you take off your mittens befor…"
"198","@ChaseSupport Hi - I'm going to be living in Chicago for 6 months (B1 Visa so no SSN) - am I able to get a basic bank account?"
"199","@ChaseSupport is adding Touch ID support to your iOS app on the product roadmap?"
"200","@ChaseSupport Does the Chase Sapphire Preferred still receive triple points at restaurants on the first Friday of each month?"
"201",".@ChaseSupport Your customer support is terrible."
"202","@ChaseSupport Hey, Chase, I need helppppp!"
"203","@ChaseSupport Case Insenstive passwords are BAD for your user's security. Please Fix it! Even better, use FIDO: https://t.co/Vc0oFbaI9J"
"204","can @ChaseSupport  help me get @verified thanks to my run to @ChipotleTweets  today? I mean come on. I make beautiful music!"
"205","@ChaseSupport 
Please send me a Direct Message
Thanks"
"206","@ChaseSupport 
Hello,

Please contact me regarding a problem with my Ultimate Rewards.
Thanks,
Abdul @AbdulSheir1"
"207","@ChaseSupport I had an account. You stranded me in DC. I have moved to NY where you have branches. I would like to clear  up the account"
"208","“@ChaseSupport: @kidnapped1979 ^EN are my initials. My name is Erin. Chase Bank is a part of JPMorgan Chase &amp; Co as a whole. ^EN” scum bags"
"209","“@ChaseSupport:  BULLSHIT You can send your tax bill to JPMorgan Chase Bank, NA,: Tax Department, PO Box 961227, Ft. Worth, TX 76161. ^SG”"
"210","@ChaseSupport Thank You, It makes it a lot harder when you get direct deposit and need cash. I appreciate it"
"211","@ChaseSupport where are you all located?"
"212","@ChaseSupport Apparently only helps during business hours. What are us West Coasters to do?"
"213","@ChaseSupport I purchased through the UR mall (Omaha Steaks) on 12/16 and haven't seen the bonus points post yet, how long before they show?"
"214","@ChaseSupport cool nite!"
"215","@ChaseSupport Yay! I love pom poms. Good night."
"216","@ChaseSupport left work 1 hr early to open an account. Not even a customer yet &amp; not sure I would want to be w/ that type of service"
"217","@ChaseSupport Frustrated w/ lack of customer service. Told to arrive by 5:45 to open new biz account. Arrive at 5:45, no one there to help"
"218","@ChaseSupport  Hello . I'm a chase customer and I am currently overseas , I may have forgotten my user ID /password but when"
"219","@ChaseSupport I'd like to know why I have to reset my password EVERY time I try to log into my Chase Sapphire account. This is ridiculous!"
"220","@ChaseSupport I forgot my QuickPay credentials. How can I get it back? I see the reset option for Chase customers but not for non customers."
"221","@ChaseSupport spent over an hour trying to get it to work, but never could. The ordering system seems to be way out of date."
"222","@ChaseSupport yes, but never was able to preview them. Apparently the Java applet is not up to Java's new sec standards. Hope they come ok!"
"223","Having ill feelings towards @Chase today hopefully @ChaseSupport can help"
"224","@ChaseSupport thank you. I sent the DM."
"225","RT @ChaseSupport: @iambmac It was my pleasure! Besides, it is too cold to be out where you were. Tweet us again for assistance! #Gobuckeyes…"
"226","@ChaseSupport It would be really helpful to have one near home."
"227","@ChaseSupport Hi, You guys should put a Chase ATM in Rantoul, Illinois. I have to travel 20 - 25 min to get to a Chase ATM."
"228","@ChaseSupport thank you for getting back with me! Have a wonderful evening."
"229","Dear identity thieves, You suck. Love, us. Oh, and thanks @ChaseSupport for catching it and calling us."
"230","@ChaseSupport Turned overdraft off 11/15, still charged til 1/5, happened on another acct and got full refund. How can I get this fixed?"
"231","Way to go, @ChaseSupport. Solving problems on Twitter and letting me be lazier than ever. Many thanks to ^TZ for all the help."
"232","@ChaseSupport Are there plans to bring back eBills for BofA? Will probably cancel my card due to the hassle but thought I'd check first."
"233","@nbc6 @ChaseSupport  ask chase how they use my dead mom to justify giving 83 yr old 3rd mortgage"
"234","@ChaseSupport when the sltn to avoiding fees on your accts is ""get a different job"" or ""have more money"" its an easy decision to close acct"
"235","@ChaseSupport the branch on Gender. The bankers name was Francesca Hargrow. She was the only banker helping customers while we were there."
"236","@ChaseSupport  looking forward to now looking up the 1st mortgage from 20 years ago that you trumped their lien. Scum"
"237","@ChaseSupport  200k on a maybe 100 house  get the hell out of here.  Like I said. That's FTC. Jury will love what u did w dead mother"
"238","@ChaseSupport  if I was lying they could stop me. Wake up world  they scamming mortgages big time http://t.co/bWJXk6n0Xf"
"239","@ChaseSupport time to get I lighten some other social media. Can't stop me. Can't sue. Cuz u DIRTY PIGS"
"240","@ChaseSupport ask your co conspirator what happened when he stole    THIEVES. SUE ME. TEUTH IS COMPLETE DEFENSE."
"241","@ChaseSupport @Chase After 3 phone calls today found it was still on someone's desk. Still not looked into by your support dept."
"242","@ChaseSupport Chase Student Loans holding up @windsongpoetry's mortgage. booooooooooooooooooooo! All she needs is current balance ltr."
"243","@ChaseSupport  I'm glad you ignored me. I was on the fence cuz I want someone in jail. Never got to put one in jail just get them put"
"244","@ChaseSupport It says the photos aren't clear.It isn't consistent- they are the same checks I receive every month. Only work 30% of the time"
"245","@ChaseSupport ...can't even get the Java applet to run to preview checks!! This is insane. On both Win8.1 and Mac OSX. VERY frustrating."
"246","@ChaseSupport Geez guys...trying to reorder checks, have to make my Java/Browser sec settings very UNsecure to get into the page..."
"247","@ChaseSupport @Chase yes it was your support dept. on the 26th. That sent it to."
"248","@ChaseSupport  she was alive you say ? Lol. Guess the next deed of trust u for over double house value alive too huh http://t.co/GNbFwyydRd"
"249","@ChaseSupport @chasesupporters ENJOY THE RIDE DIRTY CROOK. MONMAS BACK TO LIFE. LOL LOL. MILLIONS ASSHOLES"
"250","@ChaseSupport guess it's time to see who ready to have some fun. No arbitration agreement crap. I Put 12 people in box !!!"
"251","@ChaseSupport got some winners though.  Couldn't get my dead moms middle name right when u altered the document. Lol $$$$$)"
"252","@ChaseSupport until they use an attorney's dead mother to secure 3rd mortgage on house worth 100k less."
"253","Cuz a trust comes before a deed therefore trust holder beneficiary WILL NEVER NEVER NEVER LOSE @ChaseSupport"
"254","@ChaseSupport  SUBORNATION OF TRUST means we screw the original mortgage group n take priority when 83 yr old dies That's why they max house"
"255","Some people just don't believe   @ChaseSupport  I'm excited to see what a jury gives us. Got proof of fraud. Etrade too"
"256","@ChaseSupport that desperate you go so low to my dead mother.   Your a disgrace.  Got you criminally."
"257","@ChaseSupport new technology, Great. Customer Service, better."
"258","@ChaseSupport the branch was in canal winchester Ohio. The banker was extremely kind and helpful. The wait was just significantly too long"
"259","@ChaseSupport yes. You may call any number associated with my account, too."
"260","@ChaseSupport Yes, I received an ""apache tomcat"" error message. I called to redeem the points."
"261","RT @ChaseSupport: @pickmyflorez I'm thrilled I could help you and provide a great experience. If we can offer our assistance in the future,…"
"262","@ChaseSupport I got it 10 min before I left. Too close for comfort but thank you for following up!"
"263","@Legal_Alerts  I have court filed documents proving @ChaseSupport committed mortgage fraud wire fraud theft n old man now 100 upside down"
"264","Which media do I give the exclusive ?  I have docs proving jpmorgan knowingly defrauded other lenders and the government. @ChaseSupport"
"265","@ChaseSupport  very clever   But for me."
"266","@ChaseSupport  now let's talk   Knowingly accepting a deed with dead persons name signed."
"267","@ChaseSupport ashkeylynnfaire=  I need my routing number"
"268","@ChaseSupport  THEY LIE PEOPLE.  WATCH THEM FALL NOW. DUMB ASSES FORGED DEAD MOMS NAME AND NOT HER REAL MIDDLE NAME."
"269","@ChaseSupport why don't you check on the loan u did in dead name ?"
"270","@EIngling I was unable to locate a DM from then. Did you send to @Chase? If so, please DM us here @ChaseSupport. We'd like to help. ^TZ"
"271","@ChaseSupport Thanks for the response."
"272","Thank you @ChaseSupport for your help! This is why I continue to use your services <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"273","@ChaseSupport and @etrade about to lose so much money. Play games !!"
"274","I love when a company has great customer service. Just talked to @ChaseSupport and they were extremely helpful!"
"275","@ChaseSupport I worked everything out. Thank you."
"276","@ChaseSupport Help. I've stood in line forever at my branch and not a banker in sight. Can I call you for help? Please?"
"277","@ChaseSupport Did that on 12/26/14, got no response. Why bother."
"278","@ChaseSupport new cust+needed card by 2PM 2day and was told Sat deliv.Not true:sent overnight saver so might not have it in time for trip!"
"279","@ChaseSupport Thanks. It's very helpful. Amex added the feature last month: http://t.co/7LRFCUNsxT"
"280","@ChaseSupport I've been having issues with the ultimate rewards website while trying to pay my credit card with points."
"281","@ChaseSupport were @SouthwestAir drink coupons sent to all cc holders?  if so, may be a happy mail person somewhere :) #husbandsarrivedok"
"282","@ChaseSupport DM'd, cheers!"
"283","I wanted to transfer money to the savings account and it is no longer a savings account. Please explain, @ChaseSupport."
"284","@ChaseSupport @chase Do you plan to add fingerprint recognition to you iOS app like Amex?"
"285","@ChaseSupport still haven't received new CC's been over month."
"286","@ChaseSupport yes no worries, thanks. I was surprised to get a new card even with the same expiration date. Good timing, old one almost worn"
"287","@ChaseSupport Hey Chase! Will any of your branches be open on Martin Luther King Day or will they all be closing?"
"288","@ChaseSupport Same issue on FF and apparently I can't use Safari incognito at all... trip is 3/7 to 3/17, could DST be the problem?"
"289","@ChaseSupport Msg'd about dispute and non receipt of goods.. any advice?  Plz chk msgs.  Thx. :)"
"290","@ChaseSupport i did open an account, thank goodness the banker was great and friendly he made a bad situation a positive one. The wait tho<ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B4><U+00AB>"
"291","@ChaseSupport Clearing the cache seems to have worked for now.  Thanks for your help."
"292","@ChaseSupport thanks!"
"293","@ChaseSupport I want to cancel husband as AU from my Sapphire Pref card so he can apply for his own. Will this affect his credit?"
"294","@ChaseSupport No change, Chrome incognito and when searching I get to the /flight/fullResult?qid=... and the whole page will freeze up"
"295","@ChaseSupport Mac OSX Yosemite.  Site worked fine for ages, then decided to start redirecting to mobile a month or two ago."
"296","@ChaseSupport When will debit cards get a chip and signature?"
"297","@ChaseSupport How can I reload my Liquid Card from Canada? Thanks!"
"298","@ChaseSupport thanks for the info"
"299","@ChaseSupport Your website always redirects to the mobile version when accessing via Safari.  Fix your dang browser detection."
"300","@ChaseSupport When will Chase start producing the EMV compatible debit cards?"
"301","@ChaseSupport We have had transactions from Rackspace on a non-Chase card.  Is there something else we can look at?  Thanks!"
"302","@ChaseSupport how do you switch checking accounts? As in from Chase College to Chase Total?"
"303","@ChaseSupport Searching flights through your UR site's broken, page freezes every time I search... making it hard to give you my money Chase"
"304","@chasesupport An inflexible fraud detection and authentication approach is awful way to help customers. Come in? What if I lived hours away?"
"305","@ChaseSupport Done"
"306","@ChaseSupport @Chase what is the cost of a cashiers check at Chase in the Chicagoland area?"
"307","@ChaseSupport I am fine, thank you!"
"308","@ChaseSupport Thank you. It's hard to explain what takes time and why they don't ask for all the documents at once. Appreciate the help."
"309","@ChaseSupport @charls26 thank you but I called the costumer support and they resolved the problem."
"310","@ChaseSupport if I have a negative balance on my credit card how can I go about getting that back to me"
"311","@ChaseSupport how about we discuss over the phone. You know…the old fashion way."
"312","@ChaseSupport thank you so much! You guys are the best! Have  a great day!"
"313","@ChaseSupport I did thank you!"
