Column1,text,score,Very.Pos,Very.Neg,Accurate?,Specific?
30,@AskCiti I'd like to get new cash card.  I understand there is a mailer promotion for a $100 credit.  How can I get this and the card?,1,0,0,,
31,@AskCiti when do you give the CitiGold members the 15% TY points bonus for all the Prestige Card spend?,2,1,0,,
32,@AskCiti please pass onto  your friends that Citi has poor customer service and refuses to listen to customer needs.  audiotape to follow.,-2,0,1,,
33,"@AskCiti  Asked citi to raise our credit limit $16 To make a large purchase but denied. great customer with 4 diff. accounts, poor service",-2,0,1,,
34,"anybody knows bet. @AskCiti and @ChaseSupport, who has better CS Service? I was using mainly @AskAmex till now but they pissed me off...",1,0,0,,
35,@AskCiti Thank you for your help.,1,0,0,,
36,@AskCiti Probably not a good idea to employ telephone staff who don‚Äôt speak clearly without a thick rolling Filo twang!,2,1,0,,
37,@AskCiti All fixed. I had to speak for her. Resorted to speaking the little Tagalog I remember as even I couldn‚Äôt understand their English!,0,0,0,,
38,Thanks to @AskCiti for helping me with my issue! Turns out I was getting a BSOD because I tried accessing their site using Windows 7 not 8.,0,0,0,,
39,@AskCiti thanks for calling! Cheers.,0,0,0,,
40,"@AskCiti It is pretty simple. I'm signed up, but the fraud alerts don't come until I try to use my card, which is too late.",0,0,0,,
41,@AskCiti our Australian number is 61732724037 thanks!,0,0,0,,
42,@AskCiti Can I  get checks for my account to pay those who cannot swipe a card?,-1,0,0,,
43,@AskCiti I'm trying to send an international transfer from Australia. My bank here says the code: 254070116 has changed. Thanks.,0,0,0,,
44,@AskCiti Why don't I get your fraud alerts promptly on my phone? They come after I've tried to use my card. That is broken &amp; unacceptable.,-2,0,1,,
45,@AskCiti hi! The swift code/aba# has recently changed for the Washington DC Virginia branches. What is it now?,1,0,0,,
46,@AskCiti is there an email address that I can use to send an email rather than tweeting?,0,0,0,,
47,"@AskCiti BTW, do you think you will add check ordering this year? If so, how will I find these new features?",0,0,0,,
48,RT @emmanuelheifa: @MelissaLeeCNBC VKON‚Ñ¢ Ratings (59) @AskCiti; 190M+ Viewers via @CarlosMBorbon Diaoyu Oil Find Ads @globaltimesnews:http:‚Ä¶,0,0,0,,
49,@AskCiti Have att universal card. 13+yrs never late &amp; always paid above min. Citi said no when I requested APR reduction. Why penalty Apr???,-1,0,0,,
50,@MelissaLeeCNBC VKON‚Ñ¢ Ratings (59) @AskCiti; 190M+ Viewers via @CarlosMBorbon Diaoyu Oil Find Ads @globaltimesnews:http://t.co/OdjlVm6KQv,0,0,0,,
51,"@AskCiti it's a Citi prepaid card which my weekly salary gets put on to from my Co. BAE in San Francisco, Ca.",0,0,0,,
52,"@AskCiti it's a Citi prepaid card that my weekly salary gets put from BAE in San Francisco, Ca.",0,0,0,,
53,"@AskCiti T tried to withdraw $480.00 from my card, the ATM did not dispense any funds and read ‚ÄúERROR CAN NOT DISPENSE CASH‚Äù.",0,0,0,,
54,"@AskCiti @ 475 San Mateo Avenue, San Bruno, CA 94066 branch with my prepaid citi card. The manager was unprofessional and dismissive",-1,0,0,,
55,@AskCiti I meant making ATMs at 7-Eleven do everything ATMs at branches do.,0,0,0,,
56,@AskCiti - thought you'd like to know that the Citigold phone# listed in the iPad app (1.888.685.0935) is incorrect and is kinda shady.,-1,0,0,,
57,@AskCiti How do I send a secure email from within the Citi mobile app?,1,0,0,,
58,"@AskCiti How do order checks from within the Citi mobile app? How do I do that? If I can't do that, when will that feature be available?",1,0,0,,
59,@AskCiti Where I can deposit cash and checks larger than mobile allowed of 1K now.,0,0,0,,
60,"@AskCiti I understand and this is a good move, but I hope you will compliment this with full service ATMs (7-Eleven) (1/2)",2,1,0,,
61,@AskCiti I went this morning to a citibank and they are gonna send my debit card tomorrow thank you,1,0,0,,
62,"@AskCiti Noticed you closed a lot of branches near my town, so now the closest branch is 20 miles away. What's the reason for this move?",0,0,0,,
63,@AskCiti Got a hold of a customer service rep. Thank you!,1,0,0,,
64,@AskCiti mi cuenta de correo es jpninopa@gmail.com,0,0,0,,
65,@AskCiti Have them test that feature out to see what's wrong.,-1,0,0,,
66,@AskCiti Not sure what your IT group doesn't understand. I don't have time for this. Virtual account # part of your website isn't working.,0,0,0,,
67,@AskCiti Hi! I'm going abroad and was wondering what number to call to make citibank aware of my new location.,0,0,0,,
68,@AskCiti This isn't a case of user error &amp; troubleshooting should not be required. You've been notified of the issue. Please fix it. Thanks.,-2,0,1,,
69,"@AskCiti supposed to receive a wire transfer from someone using your bank, just got global reference id, how can I check it went through",0,0,0,,
70,"@AskCiti thank u, I just got a call back",1,0,0,,
71,@AskCiti here is a novel idea. Hire customer service people that speak &amp; understand English.  Customer support is worst of all time,0,0,0,,
72,"@AskCiti so I can choose the right card in the future, what Citi MasterCard supports spend alerts on my iPhone, whenever I swipe?",1,0,0,,
73,@AskCiti thanks for getting back. It's a Citi Dividend World MasterCard,0,0,0,,
74,@AskCiti trying to reset my password but keep getting long java error messages‚Ä¶ :( Tried both Chrome and Safari and same thing for both,-1,0,0,,
75,@AskCiti Thank you. Have e-mailed you now.,1,0,0,,
76,"@AskCiti Hey, tried to DM you but can't as you dont follow me. thanks.",0,0,0,,
77,"@AskCiti That was what I was afraid of, as I opened in a branch but live outside of the united states. Thank you.",0,0,0,,
78,@AskCiti What if I don't know my address of the domicile branch? Where can I find this information?,0,0,0,,
79,"@AskCiti @chadalantrim that's awesome. In the words of batman, ""does it come in black?""",1,0,0,,
80,@AskCiti No answer after 18 minutes.,0,0,0,,
81,@AskCiti domestic. :),0,0,0,,
82,"@AskCiti, Hi, I've been a client of your bank since almost 1 year and a half. I've been having several issues with Citibank Colombia.",-1,0,0,,
83,"Need your help, @AskCiti do you know the email address of contact center Citibank Indonesia? I'm Indonesian but now live in Germany.",0,0,0,,
84,"@AskCiti OK. I did that but no offense, this isn't a great app. Very crashy. Needs to be fixed.",1,0,0,,
85,It was a great day at @AskCiti. Hope everyone enjoyed their weekend! We'll be back tomorrow at 9am ET to assist with any questions. ^mb ^pb,3,1,0,,
86,@AskCiti good day! i would like to ask the position of Maria Thompson in Citi Payment Processor II? Thank you!!,3,1,0,,
87,@AskCiti thanks,0,0,0,,
88,@AskCiti I'm not interested in opening a new account on my credit report.  Capital One/Chase both allow conversions.  For shame.,-1,0,0,,
89,"@AskCiti AskCiti do they have internacional nomber, caus√© im overseas, thanks",0,0,0,,
90,"@AskCiti wow tks , so I'll close my account, I can not believe that citibank not have a branch closer or aplication mobile",1,0,0,,
91,@AskCiti,0,0,0,,
92,"@AskCiti but all atm say only ""Cash withdrawals only"" my zip code is 07078 can you tell which atm can take my check deposit?",0,0,0,,
93,@24Citi @AskCiti online,0,0,0,,
94,@24Citi @AskCiti hi How can I apply for a personal loan o lime,0,0,0,,
95,@AskCiti Moblie app has frozen and I can't get it unstuck. What do I do?,-1,0,0,,
96,@AskCiti can you please follow for DM regarding account linking. Tks.,0,0,0,,
97,"@AskCiti Attempting to use your Virtual Account Number webapp, and Citi Tech Support says it only runs on Firefox on a Mac currently??? WTF?",1,0,0,,
98,@AskCiti  Thanks for info. Sorry for  previous family/friends signing w/o your authorization. Will sign myself now - or husband - on acct.,-1,0,0,,
99,"@preetiwari @AskCiti your being paid by them, they are the worst",-1,0,0,,
100,@AskCiti Hey can you help me today?,0,0,0,,
101,@AskCiti sent,0,0,0,,
102,@AskCiti for some reason my debit card said not authorized when I tried to use it. Logged on to the website &amp; I can't login! What gives?!,0,0,0,,
103,"@preetiwari @AskCiti Ufff..They are most annoying I feel.Try changing ur address online then let me knw still u feel, de deserve ths frm u:)",-1,0,0,,
104,@AskCiti I cannot send one that way because the only option I have is to request my agreement,0,0,0,,
105,@AskCiti well I would have sent email if your site would  give me more options than to request my account agreement,1,0,0,,
106,@AskCiti I do not want a phone call.  I know what the problem is.  Email sent through my online account.,-1,0,0,,
107,@AskCiti  I am sick of this type of customer services.  i was embarrassed in from of other shoppers.  keep it close for a while.  Thanks.,-1,0,0,,
108,RT @AskCiti: Glad to hear we were able to help! RT @fergdoca @AskCiti impressive customer service! Thanks!!:),2,1,0,,
109,Glad to hear we were able to help! RT @fergdoca @AskCiti impressive customer service! Thanks!!:),2,1,0,,
110,"lol sorry person manning the @AskCiti account, dont ask questions you dont want answers to......",-1,0,0,,
111,@AskCiti lol do i sound like i have an account with you? you can help me by quitting your job &amp; telling your boss he should do the same.,1,0,0,,
112,RT @AskCiti: @lovelyallen Your tweet concerns me. Did you need help with an account? ^JG,-1,0,0,,
113,@AskCiti Thanks JG for the excellent service this morning!,1,0,0,,
114,@AskCiti impressive customer service! Thanks!!:),1,0,0,,
115,"@AskCiti citi Having the option to scan barcodes would make the app even better.BTW,any chance of having #ApplePay in Brazil?The best bank!",1,0,0,,
116,@AskCiti how do I call citibank from the Bahamas?,0,0,0,,
117,@AskCiti So by default you don't report authorized users to the credit bureaus? We need to call and give her SSN to request this?,0,0,0,,
118,@AskCiti Form (at http://t.co/xZknP0sMgM) asks for her name but not SSN. Is that entered on a subsequent screen?,0,0,0,,
119,@AskCiti Thanks! I'll add her as authorized user on my card so she can build up credit history before applying as a primary...,0,0,0,,
120,@AskCiti A- add her as joint owner on credit card now or B- start her as authorized user to build up credit history first. Any advice?,0,0,0,,
121,@AskCiti Tx! My wife just moved from UK and has no credit history in US. Trying to decide best way forward to build her credit history: 1/2,1,0,0,,
122,@AskCiti Hi. Do you report credit for additional authorized users on TY Premier credit card account?,1,0,0,,
123,"@AskCiti hey guys, how many times I've to post a notice that I'm outside the country so you don't block my card for ""safety""? Ì†ΩÌ∏ë",0,0,0,,
124,@AskCiti I need help with my debit Card. I have been calling for days and it is not way to get it. @Citibank still send it the wrong one,-1,0,0,,
125,@AskCiti Thank you for calling and sorting out the issue very much to my satisfaction.  My faith is restored.,2,1,0,,
126,@AskCiti okay great! Thanks for letting us know.,1,0,0,,
127,"@AskCiti Just did, thanks for the prompt response tho. Wanted to know if Citibank India should comply with RBI policies?",1,0,0,,
128,@AskCiti it ask for the security word and her password but she says she doesn't have any I need help please!,0,0,0,,
129,@AskCiti HI I'm trying to make a payment online for my mom she says she never created an online account but the site says otherwise (cont..),0,0,0,,
130,@AskCiti im I'm out of the country and don't have a phone,0,0,0,,
131,@AskCiti Oh! Sorry. It's from Argentina. Thank you,0,0,0,,
132,@AskCiti Great Thanks for the quick feedback! Have a great day :),2,1,0,,
133,@AskCiti my Citi Debit Card expiry date is 01/15 will it serve until end of Jan? when will a new one be sent 2 my mailing address?,0,0,0,,
134,"Wow, credit where credit is due. Way to save the day, @AskCiti. My family appreciates it immensely.",2,1,0,,
135,@Citi @AskCiti Thank you for following up! Great customer service and pleasant to work with. Good job!,5,1,0,,
136,@AskCiti Just did and it still said cannot process your check,0,0,0,,
137,@AskCiti Yeah I have sufficient light and all four corners appear but it keeps saying can not process,1,0,0,,
138,@AskCiti it's my husband. @justjho literally he has spent hours on the phone to get nowhere. your people are incompetent.,-1,0,0,,
139,@AskCiti thanks a lot!!!,0,0,0,,
140,"@AskCiti Hi, I need to transfer money to an US account. What's BIC code of citibank in 79 5th Avenue New york?",0,0,0,,
141,"@AskCiti Unfortunately, it took 5 different representatives to figure this out.",-1,0,0,,
142,"@AskCiti Yes, apparently since I have this stupid private banking, I have to do everything through the actual branch, not the 1-800 number.",-1,0,0,,
143,"@AskCiti Thanks for the quick response! I updated my Flash player, cleared my cookies/cache and was able to login.",1,0,0,,
144,"@AskCiti Your Citi Apply Application website is having problems with processing applications, Thanks",-1,0,0,,
145,@ArsenalArmed @AskCiti I'm having a similar issue. The page won't load and I can't login to make a payment.,-1,0,0,,
146,"@AskCiti thx for prompt response, I restarted a couple times and eventually got to my home screen",1,0,0,,
147,"@AskCiti Feedback is fine, no need to reach back out. Thanks!",1,0,0,,
148,@spark911uk @PointsToPointB @AskCiti hope they gave you an answer. I do not know.,0,0,0,,
149,@AskCiti Too bad. Are you aware of any banks that do provide customer support via email?,0,0,0,,
150,"@AskCiti Anytime I try to login, it takes me to a 404 page for a Best Buy credit card. Fixed in an incognito window, but ya know.",1,0,0,,
151,"@AskCiti @www OK, I see. I have another question: Are cheques is still in practice? Could I get cheque book?",0,0,0,,
152,@AskCiti Is it possible to open an account in Citi in America? I am not US resident.,0,0,0,,
153,@AskCiti Thanks!,0,0,0,,
154,"Deal Makers Notched Nearly $3.5 Trillion in ‚Äô14, Best in 7 Years @Citibank @Citi @AskCiti Citi up from 8 to 5 in '14 http://t.co/1r8QK7d6QQ",1,0,0,,
155,@AskCiti thanks much! Is there a twitter handle for India specific support?,1,0,0,,
156,@AskCiti I hate using the phone. Is there a way to contact citi by email?,-1,0,0,,
157,RT @emmanuelheifa: @MelissaLeeCNBC VKON‚Ñ¢ Ratings (58) @AskCiti; 50M+ Viewers via @carmenelectra and @CarlosMBorbon Interface Project:https:‚Ä¶,0,0,0,,
158,@AskCiti the option to get account statements doesn‚Äôt function well on Firefox. This is on Citibank India website. Can you fix it?,1,0,0,,
159,@AskCiti I'm told that if I open an account with Citi I can also have an account in London. Is this true? What are the details?,0,0,0,,
160,"@AskCiti thanks for the reply. Just sent the message, hope you can help.",0,0,0,,
161,@MelissaLeeCNBC VKON‚Ñ¢ Ratings (58) @AskCiti; 50M+ Viewers via @carmenelectra and @CarlosMBorbon Interface Project:https://t.co/gaUFhHiAr6,0,0,0,,
162,"@AskCiti I got it. it doesn't allow login with saved user credentials, even on private machine. option to change that?",0,0,0,,
163,TY for contacting us! #custserv RT @lucky134me I received #awesome #customerservice again from @AskCiti   Thank you again!,2,1,0,,
164,"@AskCiti graphics loaded, ""sign on"" button has no effect.",0,0,0,,
165,I received #awesome #customerservice again from @AskCiti   Thank you again!,2,1,0,,
166,"I""m amazed that @Citi bank has such a low quality dysfunctional website.. requests always stuck in circular loop @AskCiti",0,0,0,,
167,@AskCiti thank you,1,0,0,,
168,@askciti Yes.  US bank account,0,0,0,,
169,@AskCiti Please explain why you'd send a new debit card over the holidays.  I'm out of town.  Now can't access my account.  #stupid,-1,0,0,,
170,@AskCiti Thank you. I just sent that email address the requested information.,1,0,0,,
171,"@AskCiti here's the address to my form for filling up forms, please fill this up: http:http://t.co/OBKsLMZqPL",0,0,0,,
172,"@AskCiti Hi, how it works, this tweet, like a chat? How can I ask you abot personal related issue?",1,0,0,,
173,@AskCiti I don't have my log in details with me at the moment. I was hoping you could let me know whether my payment went through or not.,0,0,0,,
174,@AskCiti CB took fee as accnt fell below $1500 'cos CB took fee! Refunded the $10 but then took it the next month for same reason! Circular.,0,0,0,,
175,Found a wallet in downtown NYC last night with several Citi Australia cards. Can someone help get me in touch with the owner? @AskCiti,0,0,0,,
176,@AskCiti yes thank you,1,0,0,,
177,@AskCiti yes ill do that thank you,1,0,0,,
178,"@AskCiti that did work, thank you.",2,1,0,,
179,"@AskCiti  or what number would i need to call, i can figure that out tomorrow",0,0,0,,
180,"@AskCiti yes, at the moment no though, ill figure out the number unless you tell me when you will be calling i can be at friends phone",0,0,0,,
181,@AskCiti is there a reason why my Citibank branch is closing?,0,0,0,,
182,"@AskCiti mobile deposit not working. tried uninstall/reinstall, no luck.",1,0,0,,
183,"I was robbed, the victim of #identitytheft and #citibank has failed to investigate my claim. @Citi @AskCiti",-1,0,0,,
184,@AskCiti I'm about to take a flight so I'll have to do it later.   Thanks,0,0,0,,
185,@AskCiti Can I change my #DiamondPreferred card to a #AmericanAirlinesCitiCard?,0,0,0,,
186,@AskCiti can get alerts to my mobile device when activities are happening  in my account,0,0,0,,
187,@AskCiti,0,0,0,,
188,@AskCiti spoke to online+mobile with completely zero effect. Your fraud protection is a joke. It blocks all the time. I call and no action.,-1,0,0,,
189,"RT @AskCiti: Good night all! Have a very Happy &amp; safe New Years Eve, we will see you in 2015! We'll be here at 9am ET to assist again! ^TV",4,1,0,,
190,@AskCiti happy new year! Thanks for being the best bank decision ever!,2,1,0,,
191,@AskCiti Ì†ΩÌ∏ò,0,0,0,,
192,@AskCiti Happy New Year Citibank! I wish you success in the banking industry,2,1,0,,
193,"@AskCiti @HiltonHHonors Aubrey with Citi hasn't yet resolved my reward, but more helpful than Hilton or Citi blaming each other. Ridiculous",1,0,0,,
194,"@AskCiti On phone with Aubrey right now.  She also doesn't understand why reward hasn't been issued, more helpful than anyone has been.",3,1,0,,
195,"@AskCiti thank you, same to you",1,0,0,,
196,@AskCiti Happy New Year 2015,1,0,0,,
197,@AskCiti what is your email address ?,0,0,0,,
198,"@AskCiti try using Safari log in to online banking go to transfers, wire transfer. You'll see. Says it's a ""temp"" error but been there 6 mo.",-1,0,0,,
199,@AskCiti DM not working apparently.  Please give email address,0,0,0,,
200,@AskCiti Everything was taken care of. Thank you for your service!,1,0,0,,
201,@AskCiti Thank you so much.. You were of great help! So prompt and very efficient! #ExcellentCustomerService,4,1,0,,
202,@AskCiti Why does it not work like the rest of you CC's?,2,1,0,,
203,@AskCiti @Citi @apple @ATTCares When is my AT&amp;T Universal Card going to work with Apple Pay?,1,0,0,,
204,@AskCiti  so my phone was stolen how do I reset my password or bypass the security verifications thanks,-1,0,0,,
205,Thx for your loyalty! #custserv ^MM RT @TMASSMatt @AskCiti thanks for everything. You were extremely helpful. Happy new year to you as well.,4,1,0,,
206,@AskCiti thanks for everything. You were extremely helpful. Happy new year to you as well.,3,1,0,,
207,@AskCiti Hello VS. Sorry about that. Please check now..,-1,0,0,,
208,@AskCiti Thanks. You guys rocked. Wish you could help me get cash balance out of a Chase brokerage. Their branch won‚Äôt cut cashier‚Äôs check.,0,0,0,,
209,I cannot believe the runaround we‚Äôre getting from @Chase on rolling over retirement acct. @AskCiti was nothing but a pleasure to work with.,2,1,0,,
210,@AskCiti Just DM'd my number. Thank you..,1,0,0,,
211,"@AskCiti Hello.. I'd like to know how I can close my account.. I am being charged monthly fees, resulting in the account being overdrawn...",1,0,0,,
212,@AskCiti is there someone I could call to talk to,0,0,0,,
213,@AskCiti both. I'm trying to avoid the fee for my account. Not fair that I have to pay it due to incompetence from staff.,0,0,0,,
214,".@AskCiti Finally I got a ""secure message"", but when I access it, I get this image. Call me pls http://t.co/qlLmg6R4Su",1,0,0,,
215,@AskCiti thanks.  You Rock!!!! HAPPY NEW YEAR!,1,0,0,,
216,@AskCiti Do you know if the branches are closing earlier than 5PM today?,0,0,0,,
217,@AskCiti Thanks. You enjoy the new year as well.,2,1,0,,
218,"@AskCiti Hi, can my father make a deposit to my account via a teller transaction?",0,0,0,,
219,@AskCiti Thank you so much for your help! Fingers crossed this one arrives! Happy new year! Ì†ºÌæâ,2,1,0,,
220,@AskCiti Thank you!,1,0,0,,
221,@AskCiti Thanks,0,0,0,,
222,@AskCiti yes. You can contact me at the same number. Thank you.,1,0,0,,
223,@AskCiti. Good afternoon. I would to make changes to my accounts.,1,0,0,,
224,@AskCiti Can you tell me where the nearest US branch is? I tried calling but it took 10+mins to reach rep. My zip 94103,0,0,0,,
225,"@AskCiti I want to close my account, can you tell me what I must do? LiveChat on your website doesn't work either.",1,0,0,,
226,Tolking about toy vicepresidents @edskyler  get The award ! Doing nothing for The customers @AskCiti @ContactoBanamex @banamex,1,0,0,,
227,@edskyler  just another vicepresident who just keep warm The chair And do nothing for The customers @ContactoBanamex @banamex @AskCiti,1,0,0,,
228,@edskyler  it seems that @banamex  @ContactoBanamex @AskCiti  do not take care of The customers,0,0,0,,
229,@AskCiti please can you help me get a new pin sent to my new address is the UK. Still waiting after 7 weeks following a 45 min phone call. Ì†ΩÌ∏ï,0,0,0,,
230,@AskCiti I'm having problems with my account and I'm abroad now so its very hard to call the 800 number. Do u have any email?,-2,0,1,,
231,Please let me know the procedure online to close my basic account bank in US @AskCiti,0,0,0,,
232,@AskCiti Can someone please help me?,0,0,0,,
233,RT @AskCiti: @zelayaaa3 Hello. If you need help with your Citi accounts please let me know and I can try to help you. ^YC,0,0,0,,
234,@AskCiti haven¬¥t received cards yet. 4 days next week friend in NYC adress. contact me by mail so my friend can receive and bring me cards,0,0,0,,
235,@AskCiti I apologize but...Where on the page is the online chat option?,0,0,0,,
236,@AskCiti How can I chat online with a Citigroup representative about opening up a new bank account? I cannot find a link anywhere.,0,0,0,,
237,@AskCiti Thanks a lot.,0,0,0,,
238,@AskCiti ordeal was over in something like 2 hrs. whatever glitch caused delay - communication to customers in waiting is expected.,-2,0,1,,
239,@AskCiti the reason I got the citi aa card was for the free checked bag but I was refused this on both legs of my trip.I thought it was free,1,0,0,,
240,"@AskCiti Gt mail fr PL for 13% after applied no response almost 10 days app id: L2SSTI0792560, Can sum one look into it. at least say Y or N",0,0,0,,
241,@AskCiti Applied for an credit card in Mumbai using e-adhaar. Got delayed citing wrong address proof. Isn't there a RBI rule to accept it?,-2,0,1,,
242,"@AskCiti Hi, I need help with my online account. The online system is refusing to recognize my account! Notice that I'm out of the US.Thanks",-1,0,0,,
243,@AskCiti If you can help me to resume my account so that i don't have to go thru the process of registering it agn its a waste of time.,-1,0,0,,
244,@AskCiti  its about a month i complete that given form but not a single word from you guys i get,0,0,0,,
245,@AskCiti I tried to open a Citigold checking account and the online application is broken as well.  I am not able to complete.,0,0,0,,
246,"@AskCiti I tried to register a new credit card online, but continue button is broken at http://t.co/5JVK3oBIKs http://t.co/xuwJoYyy83",-1,0,0,,
247,@HiltonHHonors @AskCiti Similar customer service for both Citibank Credit Cards and Hilton Honors - none!,0,0,0,,
248,@HiltonHHonors @AskCiti My disappointment with Hilton's Citibank card continues. No reward after meeting all requirements and yearly fee!,0,0,0,,
249,@AskCiti I was wondering if u had a way to lessen my debt so I can pay it off quicker,0,0,0,,
250,Bye bye forever @Citibank @AskCiti and @AmericanAir . Welcome @staralliance @united and @Chase http://t.co/SprXV8XIKK,1,0,0,,
251,"@AngelicaLozanoC como ser√° de malo el servicio, que ese tuit es la respuesta! :-@AskCiti",0,0,0,,
252,@AskCiti yes,0,0,0,,
253,"@AskCiti I'm unable to edit autopay in any browser I try, I receive a message saying ""Edit AutoPay Error""",-2,0,1,,
254,@AskCiti #scammers on MyFreeCams &amp; CB &amp; ImLive &amp; Skype: sweetmaya91&amp;sweetmaya911&amp;robygentile&amp;sebi3&amp;badentier&amp;oliver__14 #IDThief,0,0,0,,
255,"@AskCiti allready spent quite a bit ofte in the phone, no luck",1,0,0,,
256,@AskCiti I need to speak with someone regarding questions about fraud on my account.,-1,0,0,,
257,"@AskCiti I am from the USA, will be studying in Hong Kong for Spring. Curious if you have resources on use of CitiBank CC abroad.",0,0,0,,
258,@AskCiti test,0,0,0,,
259,@AskCiti I'm in a branch having the problem solved. Thank you for your concern though.,-1,0,0,,
260,.@AskCiti Your call center in the Philippines is a huge fail. Had to answer nearly a dozen security questions.  Really??,-1,0,0,,
261,@AskCiti I contacted many times the sending bank and give to me the swift transfer receipt and told that the transfer was sended 4 months ag,1,0,0,,
262,"RT @conycamelo: @AskCiti 

Fatal servicio. Fatal.",-2,0,1,,
263,@AskCiti if somebody can help me have a wire transfer from lebanon to Venezuela with intermediary citibank 4 months ago,0,0,0,,
264,"@AskCiti 

Fatal servicio. Fatal.",-2,0,1,,
265,RT @AskCiti: @AngelicaLozanoC Oh no. I'm sorry to hear that. If you like to discuss further or need assistance pls let us know. ^YC,0,0,0,,
266,@AskCiti thk God one more cashier is Here now we have 2,0,0,0,,
267,"@AskCiti 1 cashier is working and 50 persons outside waiting in the line, send me a message if you Want pictures ...",0,0,0,,
268,@AskCiti Thank you! I emailed the requested information in a scanned PDF to that email address.,1,0,0,,
269,@AskCiti That is obvious since you provide customer service via twitter.  Nicely done!,1,0,0,,
270,"Service I'm receiving from @AskCiti regarding closing an account via twitter/phone/email is so good, it makes me want to open another acct!",1,0,0,,
271,@AskCiti thank you.,1,0,0,,
272,"@AskCiti Hi Citi, can I email proof of address for my credit card application instead of fax? Not sure how to use the fax here...thank you!",0,0,0,,
273,@AskCiti I signed 3 times the form for the online acces and still Im not able to do transfers,0,0,0,,
274,"@AskCiti thank you for your reply, your online services are probably the worst on earth",0,0,0,,
275,"@AskCiti useless to ask for their assistance...they can't help. It's ok, thanks.",-1,0,0,,
276,@AskCiti I can but I can't DM you unless you are following me though,0,0,0,,
277,"@AskCiti cant dm as u r not following me on twtr, mob +201115515575, call me anytime",0,0,0,,
278,@AskCiti and can I use another banks ATM to deposit cash in PHL airport?,0,0,0,,
279,@AskCiti I'm currently out of the country and is in Uganda. Can I give you my Uganda phone number?,0,0,0,,
280,@AskCiti what is citibank's switcode for receiving internationals wire transfers,0,0,0,,
281,"@AskCiti follow me, I'll follow back then DM you.",0,0,0,,
282,@AskCiti Hello and thanks for trying to help. I have already done that and it is not working. Any other ideas?,0,0,0,,
283,@AskCiti Thanks for noticing my tweet.I realize it was just a glitch and can happen at any ATM once in a while.,-1,0,0,,
284,@AskCiti I've alr received calls but they're still unwilling to open my acc agn. the prob is i dont owe e bank alot of $ &amp; i was nt in sg,-1,0,0,,
285,@AskCiti No but I used another bank's ATM..was just the timing right as the cash was about to dispense made me bit anxious...its ok.,1,0,0,,
